epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,124.265,0.3253,0.55658,0.93305,0.00667,1,0.995,0.8955,0.58861,2.46594,1.14992,0.000478888,0.000478888,0.000478888
64,125.975,0.37951,0.56269,0.9417,0.00667,1,0.995,0.8955,0.67151,2.51426,1.3024,0.000474138,0.000474138,0.000474138
65,127.624,0.31934,0.52173,0.92101,0.00667,1,0.995,0.62327,0.81151,2.53478,1.49822,0.000468992,0.000468992,0.000468992
66,129.218,0.32349,0.5203,0.90587,0.00667,1,0.995,0.6545,0.76314,2.52709,1.43619,0.00046345,0.00046345,0.00046345
67,130.851,0.36744,0.54055,0.92968,0.00667,1,0.66333,0.43934,0.64491,2.55959,1.236,0.000457512,0.000457512,0.000457512
68,132.484,0.31743,0.5349,0.92325,0.00667,1,0.995,0.58867,0.61876,2.52703,1.19847,0.000451178,0.000451178,0.000451178
69,134.533,0.34,0.49902,0.95069,0.00667,1,0.995,0.69584,0.65041,2.41647,1.19967,0.000444448,0.000444448,0.000444448
70,136.856,0.32604,0.53132,0.89747,0.00667,1,0.995,0.8955,0.67032,2.36808,1.16058,0.000437322,0.000437322,0.000437322
71,139.299,0.37406,0.59728,0.95253,0.00667,1,0.995,0.8955,0.67908,2.32399,1.21386,0.0004298,0.0004298,0.0004298
72,141.067,0.31168,0.56525,0.93245,0.00667,1,0.995,0.7955,0.66094,2.32627,1.26239,0.000421882,0.000421882,0.000421882
73,142.716,0.43704,0.61017,0.93458,0.00667,1,0.995,0.69567,0.60349,2.39736,1.2177,0.000413568,0.000413568,0.000413568
74,144.313,0.34577,0.53138,0.93816,0.00667,1,0.745,0.57109,0.64201,2.46007,1.16341,0.000404858,0.000404858,0.000404858
75,145.956,0.28305,0.50946,0.91706,0.00667,1,0.745,0.5215,0.64908,2.49366,1.14554,0.000395752,0.000395752,0.000395752
76,147.569,0.31435,0.5069,0.89216,0.00667,1,0.745,0.52126,0.59825,2.45879,1.1567,0.00038625,0.00038625,0.00038625
77,149.21,0.31988,0.51501,0.913,0.00667,1,0.995,0.71575,0.53081,2.3744,1.14231,0.000376352,0.000376352,0.000376352
78,151.275,0.31105,0.48094,0.90352,0.00667,1,0.995,0.8955,0.53839,2.347,1.14276,0.000366058,0.000366058,0.000366058
79,153.799,0.31183,0.46298,0.90189,0.00667,1,0.995,0.69634,0.81184,2.38148,1.31354,0.000355368,0.000355368,0.000355368
80,156.163,0.27475,0.44322,0.88957,0.00667,1,0.995,0.54717,1.12144,2.49608,1.6257,0.000344282,0.000344282,0.000344282
81,157.876,0.32457,0.46144,0.91424,0.00667,1,0.82833,0.30667,1.7601,2.74307,2.16169,0.0003328,0.0003328,0.0003328
82,159.461,0.32181,0.46132,0.92822,0.00667,1,0.66167,0.20499,2.01856,3.06215,2.22791,0.000320922,0.000320922,0.000320922
83,161.077,0.29549,0.43924,0.90436,0.00667,1,0.63786,0.17408,2.01279,3.06293,2.1415,0.000308648,0.000308648,0.000308648
84,162.741,0.27763,0.46644,0.915,0.00667,1,0.4975,0.18493,1.62436,2.85617,1.91901,0.000295978,0.000295978,0.000295978
85,164.303,0.29697,0.43099,0.8864,0.13418,1,0.4975,0.21984,1.50892,2.77844,1.86138,0.000282912,0.000282912,0.000282912
86,165.931,0.31827,0.49903,0.90917,0.34597,0.5,0.4975,0.19488,1.36739,2.69137,1.77454,0.00026945,0.00026945,0.00026945
87,167.987,0.26847,0.43022,0.90517,0.36683,0.5,0.4975,0.19488,1.22634,2.66955,1.6007,0.000255592,0.000255592,0.000255592
88,170.251,0.28285,0.42034,0.90419,0.41684,0.5,0.745,0.24867,1.05479,2.60887,1.43226,0.000241338,0.000241338,0.000241338
89,172.775,0.28548,0.48225,0.9277,0.47357,0.5,0.745,0.28349,1.04622,2.53109,1.42962,0.000226688,0.000226688,0.000226688
90,175.005,0.24136,0.41208,0.89497,0.57032,0.5,0.745,0.26319,1.47656,2.60189,1.6314,0.000211642,0.000211642,0.000211642
91,178.257,0.23693,0.87544,0.88904,0.59996,0.79988,0.66333,0.34825,0.7781,2.4481,1.24872,0.0001962,0.0001962,0.0001962
92,180.743,0.2225,0.69727,0.84973,0.37341,1,0.995,0.52654,0.50494,2.10141,1.14638,0.000180362,0.000180362,0.000180362
93,182.515,0.19957,0.66542,0.81694,0.00667,1,0.995,0.94509,0.53027,2.08494,1.2187,0.000164128,0.000164128,0.000164128
94,184.696,0.21757,0.64923,0.88512,0.00667,1,0.995,0.79567,0.57156,2.20596,1.28803,0.000147498,0.000147498,0.000147498
95,186.836,0.19221,0.61872,0.8169,0.00667,1,0.995,0.59576,0.61775,2.3369,1.21387,0.000130472,0.000130472,0.000130472
96,188.96,0.21254,0.60369,0.81368,0.00722,1,0.745,0.62883,0.65898,2.41001,1.21024,0.00011305,0.00011305,0.00011305
97,191.47,0.20416,0.60562,0.82526,0.17463,1,0.745,0.59201,0.64832,2.41017,1.22107,9.5232e-05,9.5232e-05,9.5232e-05
98,193.562,0.18054,0.59338,0.83887,0.35193,1,0.745,0.57322,0.69274,2.3658,1.21591,7.7018e-05,7.7018e-05,7.7018e-05
99,195.18,0.17922,0.57988,0.81087,0.50958,0.5,0.82833,0.61475,0.71017,2.31926,1.20956,5.8408e-05,5.8408e-05,5.8408e-05
100,196.745,0.19283,0.59462,0.83463,0.59617,0.5,0.82833,0.61479,0.68649,2.26991,1.19062,3.9402e-05,3.9402e-05,3.9402e-05
